sequence,quest_id,milestone,chapter,kind,title,concept,prompt,expected_output,workspace,files
69,ADA-DW-12-03,12,Turn with Radians and Compute Direction,Build,12.3 — Build the Milestone,"Ada.Numerics, elementary functions, radians, Sin, and Cos",Implement milestone 12: Turn with Radians and Compute Direction. Work only in the existing dungeon_walk crate.,A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
70,ADA-DW-12-04,12,Turn with Radians and Compute Direction,Predict,12.4 — Predict Before Running,"Ada.Numerics, elementary functions, radians, Sin, and Cos",Approximately what direction is represented by Ada.Numerics.Pi / 2.0?,A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
71,ADA-DW-12-05,12,Turn with Radians and Compute Direction,Repair,12.5 — Repair a Focused Defect,"Ada.Numerics, elementary functions, radians, Sin, and Cos","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
72,ADA-DW-12-06,12,Turn with Radians and Compute Direction,Checkpoint,12.6 — Demonstrate and Explain the Checkpoint,"Ada.Numerics, elementary functions, radians, Sin, and Cos","Build and demonstrate milestone 12. Then explain, without reading the source line by line, how Ada.Numerics, elementary functions, radians, Sin, and Cos makes the new behavior work.",A and D update the direction components smoothly and in opposite directions.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
73,ADA-DW-13-01,13,"Move Forward, Backward, and Slide Along Walls",Orientation,13.1 — Understand the Next Milestone,"procedure parameters, local constants, collision checks, and state mutation","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 13: Move Forward, Backward, and Slide Along Walls.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
74,ADA-DW-13-02,13,"Move Forward, Backward, and Slide Along Walls",Question,13.2 — Answer the Core Ada Question,"procedure parameters, local constants, collision checks, and state mutation","Why does Attempt_Move test `(New_X, Player_Y)` separately from `(Player_X, New_Y)`?","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
75,ADA-DW-13-03,13,"Move Forward, Backward, and Slide Along Walls",Build,13.3 — Build the Milestone,"procedure parameters, local constants, collision checks, and state mutation","Implement milestone 13: Move Forward, Backward, and Slide Along Walls. Work only in the existing dungeon_walk crate.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
76,ADA-DW-13-04,13,"Move Forward, Backward, and Slide Along Walls",Predict,13.4 — Predict Before Running,"procedure parameters, local constants, collision checks, and state mutation",What changes when Attempt_Move receives -1.0?,"W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
77,ADA-DW-13-05,13,"Move Forward, Backward, and Slide Along Walls",Repair,13.5 — Repair a Focused Defect,"procedure parameters, local constants, collision checks, and state mutation","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
78,ADA-DW-13-06,13,"Move Forward, Backward, and Slide Along Walls",Checkpoint,13.6 — Demonstrate and Explain the Checkpoint,"procedure parameters, local constants, collision checks, and state mutation","Build and demonstrate milestone 13. Then explain, without reading the source line by line, how procedure parameters, local constants, collision checks, and state mutation makes the new behavior work.","W and S move smoothly, the player cannot cross '#', and movement can slide along an open axis.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
79,ADA-DW-14-01,14,Choose a Directional Minimap Symbol,Orientation,14.1 — Understand the Next Milestone,"functions without parameters, local constants, abs, nested conditions","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 14: Choose a Directional Minimap Symbol.",Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
80,ADA-DW-14-02,14,Choose a Directional Minimap Symbol,Question,14.2 — Answer the Core Ada Question,"functions without parameters, local constants, abs, nested conditions",Why compare `abs Horizontal` with `abs Vertical` before checking their signs?,Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
81,ADA-DW-14-03,14,Choose a Directional Minimap Symbol,Build,14.3 — Build the Milestone,"functions without parameters, local constants, abs, nested conditions",Implement milestone 14: Choose a Directional Minimap Symbol. Work only in the existing dungeon_walk crate.,Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
82,ADA-DW-14-04,14,Choose a Directional Minimap Symbol,Predict,14.4 — Predict Before Running,"functions without parameters, local constants, abs, nested conditions",What symbol is returned near angle 0.0?,Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
83,ADA-DW-14-05,14,Choose a Directional Minimap Symbol,Repair,14.5 — Repair a Focused Defect,"functions without parameters, local constants, abs, nested conditions","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
84,ADA-DW-14-06,14,Choose a Directional Minimap Symbol,Checkpoint,14.6 — Demonstrate and Explain the Checkpoint,"functions without parameters, local constants, abs, nested conditions","Build and demonstrate milestone 14. Then explain, without reading the source line by line, how functions without parameters, local constants, abs, nested conditions makes the new behavior work.",Turning through a full circle eventually produces all four arrow symbols.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
85,ADA-DW-15-01,15,Draw the Map into the Screen Buffer,Orientation,15.1 — Understand the Next Milestone,"coordinate translation, nested loops, overlays, and constant local indexes","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 15: Draw the Map into the Screen Buffer.",A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
86,ADA-DW-15-02,15,Draw the Map into the Screen Buffer,Question,15.2 — Answer the Core Ada Question,"coordinate translation, nested loops, overlays, and constant local indexes",Why are Player_Map_X and Player_Map_Y calculated with Float'Floor?,A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
87,ADA-DW-15-03,15,Draw the Map into the Screen Buffer,Build,15.3 — Build the Milestone,"coordinate translation, nested loops, overlays, and constant local indexes",Implement milestone 15: Draw the Map into the Screen Buffer. Work only in the existing dungeon_walk crate.,A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
88,ADA-DW-15-04,15,Draw the Map into the Screen Buffer,Predict,15.4 — Predict Before Running,"coordinate translation, nested loops, overlays, and constant local indexes","With Screen_Width 80 and Map_Width 16, what is Start_Column?",A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
89,ADA-DW-15-05,15,Draw the Map into the Screen Buffer,Repair,15.5 — Repair a Focused Defect,"coordinate translation, nested loops, overlays, and constant local indexes","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
90,ADA-DW-15-06,15,Draw the Map into the Screen Buffer,Checkpoint,15.6 — Demonstrate and Explain the Checkpoint,"coordinate translation, nested loops, overlays, and constant local indexes","Build and demonstrate milestone 15. Then explain, without reading the source line by line, how coordinate translation, nested loops, overlays, and constant local indexes makes the new behavior work.",A 16 by 16 minimap appears near the right edge with an arrow at the player's tile.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
91,ADA-DW-16-01,16,Cast One Ray Until It Reaches a Wall,Orientation,16.1 — Understand the Next Milestone,"incremental search loops, direction vectors, and exit conditions","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 16: Cast One Ray Until It Reaches a Wall.",The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
92,ADA-DW-16-02,16,Cast One Ray Until It Reaches a Wall,Question,16.2 — Answer the Core Ada Question,"incremental search loops, direction vectors, and exit conditions",What tradeoff does Ray_Step control?,The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
93,ADA-DW-16-03,16,Cast One Ray Until It Reaches a Wall,Build,16.3 — Build the Milestone,"incremental search loops, direction vectors, and exit conditions",Implement milestone 16: Cast One Ray Until It Reaches a Wall. Work only in the existing dungeon_walk crate.,The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
94,ADA-DW-16-04,16,Cast One Ray Until It Reaches a Wall,Predict,16.4 — Predict Before Running,"incremental search loops, direction vectors, and exit conditions","If Ray_Step is 0.05, approximately how many iterations are needed to reach distance 5.0?",The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
95,ADA-DW-16-05,16,Cast One Ray Until It Reaches a Wall,Repair,16.5 — Repair a Focused Defect,"incremental search loops, direction vectors, and exit conditions","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
96,ADA-DW-16-06,16,Cast One Ray Until It Reaches a Wall,Checkpoint,16.6 — Demonstrate and Explain the Checkpoint,"incremental search loops, direction vectors, and exit conditions","Build and demonstrate milestone 16. Then explain, without reading the source line by line, how incremental search loops, direction vectors, and exit conditions makes the new behavior work.",The reported distance changes as the player turns or moves.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
97,ADA-DW-17-01,17,Cast a Different Ray for Every Screen Column,Orientation,17.1 — Understand the Next Milestone,"linear interpolation, field of view, loop indexes, and Float conversion","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 17: Cast a Different Ray for Every Screen Column.",The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
98,ADA-DW-17-02,17,Cast a Different Ray for Every Screen Column,Question,17.2 — Answer the Core Ada Question,"linear interpolation, field of view, loop indexes, and Float conversion",Why convert Column and Screen_Width to Float in the ray-angle expression?,The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
99,ADA-DW-17-03,17,Cast a Different Ray for Every Screen Column,Build,17.3 — Build the Milestone,"linear interpolation, field of view, loop indexes, and Float conversion",Implement milestone 17: Cast a Different Ray for Every Screen Column. Work only in the existing dungeon_walk crate.,The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
100,ADA-DW-17-04,17,Cast a Different Ray for Every Screen Column,Predict,17.4 — Predict Before Running,"linear interpolation, field of view, loop indexes, and Float conversion",What ray angle is used by the leftmost column?,The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
101,ADA-DW-17-05,17,Cast a Different Ray for Every Screen Column,Repair,17.5 — Repair a Focused Defect,"linear interpolation, field of view, loop indexes, and Float conversion","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
102,ADA-DW-17-06,17,Cast a Different Ray for Every Screen Column,Checkpoint,17.6 — Demonstrate and Explain the Checkpoint,"linear interpolation, field of view, loop indexes, and Float conversion","Build and demonstrate milestone 17. Then explain, without reading the source line by line, how linear interpolation, field of view, loop indexes, and Float conversion makes the new behavior work.",The program computes 80 wall distances spanning a 60-degree field of view.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
103,ADA-DW-18-01,18,Project Wall Distance into Vertical Slices,Orientation,18.1 — Understand the Next Milestone,"perspective projection, numeric conversion, clamping, and ranges","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 18: Project Wall Distance into Vertical Slices.",Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
104,ADA-DW-18-02,18,Project Wall Distance into Vertical Slices,Question,18.2 — Answer the Core Ada Question,"perspective projection, numeric conversion, clamping, and ranges",Why does a smaller distance produce a taller wall slice?,Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
105,ADA-DW-18-03,18,Project Wall Distance into Vertical Slices,Build,18.3 — Build the Milestone,"perspective projection, numeric conversion, clamping, and ranges",Implement milestone 18: Project Wall Distance into Vertical Slices. Work only in the existing dungeon_walk crate.,Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
106,ADA-DW-18-04,18,Project Wall Distance into Vertical Slices,Predict,18.4 — Predict Before Running,"perspective projection, numeric conversion, clamping, and ranges",Which wall appears taller: one at distance 2.0 or one at distance 8.0?,Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
107,ADA-DW-18-05,18,Project Wall Distance into Vertical Slices,Repair,18.5 — Repair a Focused Defect,"perspective projection, numeric conversion, clamping, and ranges","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.",Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
108,ADA-DW-18-06,18,Project Wall Distance into Vertical Slices,Checkpoint,18.6 — Demonstrate and Explain the Checkpoint,"perspective projection, numeric conversion, clamping, and ranges","Build and demonstrate milestone 18. Then explain, without reading the source line by line, how perspective projection, numeric conversion, clamping, and ranges makes the new behavior work.",Vertical wall slices now form a recognizable first-person corridor.,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
109,ADA-DW-19-01,19,Shade Walls and Correct Fish-Eye Distortion,Orientation,19.1 — Understand the Next Milestone,piecewise functions and perpendicular-distance correction,"Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 19: Shade Walls and Correct Fish-Eye Distortion.","Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
110,ADA-DW-19-02,19,Shade Walls and Correct Fish-Eye Distortion,Question,19.2 — Answer the Core Ada Question,piecewise functions and perpendicular-distance correction,Why is raw Distance_To_Wall not used directly for wall height?,"Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
111,ADA-DW-19-03,19,Shade Walls and Correct Fish-Eye Distortion,Build,19.3 — Build the Milestone,piecewise functions and perpendicular-distance correction,Implement milestone 19: Shade Walls and Correct Fish-Eye Distortion. Work only in the existing dungeon_walk crate.,"Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
112,ADA-DW-19-04,19,Shade Walls and Correct Fish-Eye Distortion,Predict,19.4 — Predict Before Running,piecewise functions and perpendicular-distance correction,"At the center column, what is approximately `Cos(Ray_Angle - Player_Angle)`?","Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
113,ADA-DW-19-05,19,Shade Walls and Correct Fish-Eye Distortion,Repair,19.5 — Repair a Focused Defect,piecewise functions and perpendicular-distance correction,"The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
114,ADA-DW-19-06,19,Shade Walls and Correct Fish-Eye Distortion,Checkpoint,19.6 — Demonstrate and Explain the Checkpoint,piecewise functions and perpendicular-distance correction,"Build and demonstrate milestone 19. Then explain, without reading the source line by line, how piecewise functions and perpendicular-distance correction makes the new behavior work.","Nearby walls use heavy symbols, distant walls use lighter symbols, and flat walls no longer bow outward.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
115,ADA-DW-20-01,20,Assemble the Render Pipeline,Orientation,20.1 — Understand the Next Milestone,"procedure composition, deterministic ordering, and status overlays","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 20: Assemble the Render Pipeline.","Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
116,ADA-DW-20-02,20,Assemble the Render Pipeline,Question,20.2 — Answer the Core Ada Question,"procedure composition, deterministic ordering, and status overlays",What visual bug occurs if Fill_Background runs after Cast_Rays?,"Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
117,ADA-DW-20-03,20,Assemble the Render Pipeline,Build,20.3 — Build the Milestone,"procedure composition, deterministic ordering, and status overlays",Implement milestone 20: Assemble the Render Pipeline. Work only in the existing dungeon_walk crate.,"Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
118,ADA-DW-20-04,20,Assemble the Render Pipeline,Predict,20.4 — Predict Before Running,"procedure composition, deterministic ordering, and status overlays",Why print the Screen only after every drawing procedure finishes?,"Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
119,ADA-DW-20-05,20,Assemble the Render Pipeline,Repair,20.5 — Repair a Focused Defect,"procedure composition, deterministic ordering, and status overlays","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
120,ADA-DW-20-06,20,Assemble the Render Pipeline,Checkpoint,20.6 — Demonstrate and Explain the Checkpoint,"procedure composition, deterministic ordering, and status overlays","Build and demonstrate milestone 20. Then explain, without reading the source line by line, how procedure composition, deterministic ordering, and status overlays makes the new behavior work.","Each key press redraws one complete frame containing background, walls, minimap, and controls.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb
121,ADA-DW-21-01,21,Complete and Verify the Monolithic Ray-Caster,Orientation,21.1 — Understand the Next Milestone,"integration, behavior verification, and controlled shutdown","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 21: Complete and Verify the Monolithic Ray-Caster.","The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
122,ADA-DW-21-02,21,Complete and Verify the Monolithic Ray-Caster,Question,21.2 — Answer the Core Ada Question,"integration, behavior verification, and controlled shutdown",Why does the main loop render before calling Get_Immediate?,"The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
123,ADA-DW-21-03,21,Complete and Verify the Monolithic Ray-Caster,Build,21.3 — Build the Milestone,"integration, behavior verification, and controlled shutdown",Implement milestone 21: Complete and Verify the Monolithic Ray-Caster. Work only in the existing dungeon_walk crate.,"The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
124,ADA-DW-21-04,21,Complete and Verify the Monolithic Ray-Caster,Predict,21.4 — Predict Before Running,"integration, behavior verification, and controlled shutdown",What happens if Running is initialized to False?,"The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
125,ADA-DW-21-05,21,Complete and Verify the Monolithic Ray-Caster,Repair,21.5 — Repair a Focused Defect,"integration, behavior verification, and controlled shutdown","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
126,ADA-DW-21-06,21,Complete and Verify the Monolithic Ray-Caster,Checkpoint,21.6 — Demonstrate and Explain the Checkpoint,"integration, behavior verification, and controlled shutdown","Build and demonstrate milestone 21. Then explain, without reading the source line by line, how integration, behavior verification, and controlled shutdown makes the new behavior work.","The terminal displays a playable first-person map; W/S move, A/D turn, Q exits, and walls block movement.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_walk.adb; docs/reference/dungeon_walk/dungeon_walk_final.adb
127,ADA-DW-22-01,22,Refactor the Working Program into Introductory Packages,Orientation,22.1 — Understand the Next Milestone,"package specifications, package bodies, encapsulation, and dependency boundaries","Read the lesson, inspect the listed files, and state what the program will be able to do after completing milestone 22: Refactor the Working Program into Introductory Packages.","The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
128,ADA-DW-22-02,22,Refactor the Working Program into Introductory Packages,Question,22.2 — Answer the Core Ada Question,"package specifications, package bodies, encapsulation, and dependency boundaries",Which declarations should remain private to Dungeon_Renderer rather than appear in its specification?,"The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
129,ADA-DW-22-03,22,Refactor the Working Program into Introductory Packages,Build,22.3 — Build the Milestone,"package specifications, package bodies, encapsulation, and dependency boundaries",Implement milestone 22: Refactor the Working Program into Introductory Packages. Work only in the existing dungeon_walk crate.,"The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
130,ADA-DW-22-04,22,Refactor the Working Program into Introductory Packages,Predict,22.4 — Predict Before Running,"package specifications, package bodies, encapsulation, and dependency boundaries","If Ship_Map is declared only in Dungeon_Maps' body, can Dungeon_Renderer index it directly?","The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
131,ADA-DW-22-05,22,Refactor the Working Program into Introductory Packages,Repair,22.5 — Repair a Focused Defect,"package specifications, package bodies, encapsulation, and dependency boundaries","The following code or command is wrong. Identify the defect, explain the likely compiler/runtime/behavioral result, and repair it.","The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
132,ADA-DW-22-06,22,Refactor the Working Program into Introductory Packages,Checkpoint,22.6 — Demonstrate and Explain the Checkpoint,"package specifications, package bodies, encapsulation, and dependency boundaries","Build and demonstrate milestone 22. Then explain, without reading the source line by line, how package specifications, package bodies, encapsulation, and dependency boundaries makes the new behavior work.","The refactored project behaves identically, and dungeon_walk.adb becomes a short orchestration procedure.",~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_maps.ads; src/dungeon_maps.adb; src/dungeon_player.ads; src/dungeon_player.adb; src/dungeon_renderer.ads; src/dungeon_renderer.adb; src/dungeon_walk.adb
